[2016-05-30 15:36:29] my_logger.INFO: places answer page [] []
[2016-05-30 15:36:36] my_logger.INFO: home page loaded [] []
[2016-05-30 15:36:40] my_logger.INFO: places answer page [] []
[2016-05-30 15:37:41] my_logger.INFO: home page loaded [] []
[2016-05-30 15:37:45] my_logger.INFO: places answer page [] []
[2016-05-30 15:39:18] my_logger.INFO: places answer page [] []
[2016-05-30 15:39:25] my_logger.INFO: places answer page [] []
[2016-05-30 15:39:54] my_logger.INFO: places answer page [] []
[2016-05-30 15:40:54] my_logger.INFO: places answer page [] []
[2016-05-30 15:40:59] my_logger.INFO: home page loaded [] []
[2016-05-30 15:41:02] my_logger.INFO: places answer page [] []
[2016-05-30 15:41:44] my_logger.INFO: places answer page [] []
[2016-05-30 15:42:16] my_logger.INFO: places answer page [] []
[2016-05-30 15:44:48] my_logger.INFO: places answer page [] []
[2016-05-30 15:45:06] my_logger.INFO: home page loaded [] []
[2016-05-30 15:45:09] my_logger.INFO: places answer page [] []
[2016-05-30 15:46:48] my_logger.INFO: home page loaded [] []
[2016-05-30 15:46:51] my_logger.INFO: places answer page [] []
[2016-05-30 15:47:06] my_logger.INFO: places answer page [] []
[2016-05-30 15:48:52] my_logger.INFO: places answer page [] []
[2016-05-30 15:51:43] my_logger.INFO: places answer page [] []
[2016-05-30 15:52:28] my_logger.INFO: places answer page [] []
[2016-05-30 15:52:34] my_logger.INFO: places answer page [] []
[2016-05-30 15:53:48] my_logger.INFO: places answer page [] []
[2016-05-30 15:53:54] my_logger.INFO: places answer page [] []
[2016-05-30 15:57:02] my_logger.INFO: places answer page [] []
[2016-05-30 15:59:48] my_logger.INFO: places answer page [] []
[2016-05-30 16:01:00] my_logger.INFO: places answer page [] []
[2016-05-30 16:01:14] my_logger.INFO: home page loaded [] []
[2016-05-30 16:01:17] my_logger.INFO: places answer page [] []
[2016-05-30 16:02:07] my_logger.INFO: places answer page [] []
[2016-05-30 16:04:16] my_logger.INFO: places answer page [] []
[2016-05-30 16:04:37] my_logger.INFO: home page loaded [] []
[2016-05-30 16:04:38] my_logger.INFO: home page loaded [] []
[2016-05-30 16:04:40] my_logger.INFO: places answer page [] []
[2016-05-30 16:05:10] my_logger.INFO: places answer page [] []
[2016-05-30 16:05:21] my_logger.INFO: places answer page [] []
[2016-05-30 16:05:39] my_logger.INFO: home page loaded [] []
[2016-05-30 16:05:40] my_logger.INFO: places answer page [] []
[2016-05-30 16:05:52] my_logger.INFO: places answer page [] []
[2016-05-30 16:06:04] my_logger.INFO: places answer page [] []
[2016-05-30 16:06:09] my_logger.INFO: home page loaded [] []
[2016-05-30 16:06:12] my_logger.INFO: places answer page [] []
[2016-05-30 16:06:25] my_logger.INFO: home page loaded [] []
[2016-05-30 16:06:27] my_logger.INFO: places answer page [] []
[2016-05-30 16:06:58] my_logger.INFO: places answer page [] []
[2016-05-30 16:07:07] my_logger.INFO: home page loaded [] []
[2016-05-30 16:07:09] my_logger.INFO: places answer page [] []
[2016-05-30 16:07:33] my_logger.INFO: places answer page [] []
[2016-05-30 16:07:50] my_logger.INFO: places answer page [] []
[2016-05-30 16:08:11] my_logger.INFO: places answer page [] []
[2016-05-30 16:08:33] my_logger.INFO: places answer page [] []
[2016-05-30 16:08:57] my_logger.INFO: places answer page [] []
[2016-05-30 16:09:05] my_logger.INFO: places answer page [] []
[2016-05-30 16:09:10] my_logger.INFO: places answer page [] []
[2016-05-30 16:09:32] my_logger.INFO: places answer page [] []
[2016-05-30 16:09:47] my_logger.INFO: places answer page [] []
[2016-05-30 16:11:06] my_logger.INFO: places answer page [] []
[2016-05-30 16:11:19] my_logger.INFO: places answer page [] []
[2016-05-30 16:11:31] my_logger.INFO: places answer page [] []
[2016-05-30 16:12:36] my_logger.INFO: places answer page [] []
[2016-05-30 16:13:53] my_logger.INFO: places answer page [] []
[2016-05-30 16:14:25] my_logger.INFO: places answer page [] []
[2016-05-30 16:15:09] my_logger.INFO: places answer page [] []
[2016-05-30 16:15:19] my_logger.INFO: places answer page [] []
[2016-05-30 16:17:23] my_logger.INFO: places answer page [] []
[2016-05-30 16:18:00] my_logger.INFO: places answer page [] []
[2016-05-30 16:18:28] my_logger.INFO: places answer page [] []
[2016-05-30 16:18:39] my_logger.INFO: places answer page [] []
[2016-05-30 16:18:44] my_logger.INFO: places answer page [] []
